card name,question,answer
"Regurgitator","How does this ability work?","If the Regurgitator has an empty belly and there are any dead minions, you must fill its belly by banishing one. If it has a full belly, you must empty it by shooting a projectile. If it has an empty belly and there are no dead minions, nothing happens."
"Release the Hounds","Can I play this with only one Hellhound in my collection?","Yes. You will only summon that one [[Hellhound]]."
"Replication","Where can I conjure the copy?","You can conjure it anywhere."
"Rhongomyniad","How does this work?","After the throw, Rhongomyniad is in the final location along its path, and is not carried by any unit."
"","What happens when two things that strike first clash at the same time?","If multiple units in the same fight have an ability that allows them to strike first, they strike at the same time. Then any surviving units without that ability make their strikes."
"Riddle Sphinx","Can I draw a site with this effect?","Try this riddle: Which spell will I draw? Fooled you! Neither of them! (Yes, you can draw a site.)"
"Rift Valley","Can you 'pull apart' a row with a single site?","No. That's not what 'pull apart' means."
"","What is a technical definition of what's happening when you use this card's ability?","Choose a row or column with two adjacent sites and at least one void. Then, 'pull apart' the two adjacent sites as follows: one site stays in its current square, and the other site (along with all other contiguous sites in its row or column) shifts one square. Put Rift Valley in the void that was just created. The shifting of sites and the arrival of Rift Valley happen simultaneously."
"","Can you play Rift Valley into an area affected by Atlantean Fate?","Yes, since Atlantean Fate only affects the site once it's already in play, and Rift Valley modifies how it's played in the first place."
"","How do Smokestacks of Gnaak and Rift Valley interact?","Rift Valley enters the realm using its ability, and only loses its ability once it's in the realm (which by then, it doesn't really matter)."
"","When pulling apart the row or column to place the site, can Rift Valley be played non-adjacent to your other sites?","Yes."
"","Does this move oversized units or auras that occupy more than one square?","No."
"","What happens if I try to use Rift Valley's ability when it's played via Pathfinder?","When using the Pathfinder's ability, you reveal the site, then play it in an adjacent Rubble or void (then Pathfinder moves there). With Rift Valley, you could use its ability to make a void adjacent to Pathfinder, then play it there (and Pathfinder would then move there)."
"","Can Mirror Realm copy Rift Valley and enter the realm in the special way, as long as it ends up nearby the Rift Valley that it's copying?","Yes."
"","If I have no sites but it's not the first turn (e.g. Roots of Yggdrasil destroyed everything) and I play Rift Valley, am I forced to play the site under my avatar, or could I pull apart a row of Rubble and play it there?","Since it's not the first turn of the game, you aren't forced to play under yourself. Rift Valley offers an alternate way to play a site, and thus you could pull apart a row and play it there if you wanted."
"Ring of Morrigan","If the damage from this trigger is prevented or redirected, do I still gain 1 life?","No, you must deal at least 1 point of damage with the ability to gain any life."
"Riptide","Can riptide pull a voidwalk minion in the void?","No, because minions in the void aren't 'aboveground.'"
"","What are the details of pulling an oversized minion that occupies the water site and other locations?","When pulling or pushing a oversized unit, choose a single location the oversized unit occupies (and meets the requirement of the effect - e.g. adjacent), and push/pull from there."
"River of Blood","If there are two Rivers of Blood in play, do they stack?","Yes. Half the healing (rounding down), then half the healing again (round down). So [[Divine Healing]] would heal 1 with two Rivers of Blood in play."
"River of Flame","If River of Flame casts a spell, choosing the surface, but there are Maddening Bells underground, is the River of Flame affected?","Yes! Those bells are so loud (and still nearby the caster)."
"","If River of Flame casts a spell, must you pick a region that it's casting from?","Yes. Pick surface or underground when you cast the spell (or underwater if it's flooded)."
"River Rapids","What is a 'connected river'?","Connected rivers are a contiguous group of adjacent sites with River in their name, regardless of who controls them, and which contains River Rapids. River Rapids is, by definition, connected to itself, even if it is not connected to any other Rivers."
"","How does this ability work?","It is an activated ability that you can choose to activate one time on your turn. You choose a minion that is on a connected river, and push it one step. You can use this to push the minion off of rivers, and you can activate it even if River Rapids is the only 'connected' river."
"","Can this ability push minions which are submerged at connected Rivers?","Yes, submerged minions can be pushed."
"Roaming Monster","The term 'summon' means 'enter the realm.' So, does that mean I can play this minion for free?","No. This effect simply provides additional locations where you may summon this minion."
"Rolling Boulder","What happens if Magellan Globe is in play and I push it along a complete row or column?","The Rolling Boulder continues until it would repeat a step (i.e. back to where it started), and then stops instead of repeating a step. It doesn't do 8 damage on the starting location, since a location is either along its path or not."
"","If there are two units on a site and one of them uses the boulder, does the other one get damaged?","Yes. It's dangerous to play with boulders."
"","What path does the boulder take?","It travels in a chosen cardinal direction, staying within the same region."
"Roots of Yggdrasil","What happens to destroyed Rubble?","Nothing (it turns into more Rubble, and thus doesn't change)."
"Rowdy Boys","When exactly is 'after striking' ?","After effects concurrent with striking (e.g. after gaining life via Daperyll Vampire), but before any Deathrite abilities resolve. It's in the same moment that Stealth would break due to striking."
"Ruby Core","When does this artifact provide mana?","When it enters the realm, and at the start of its controller's turn."
"Ruler of Thul","If Polar Explorers or Ruler of Thul are in play and an oversized unit on the top row moves 'up' one row to wrap around to the bottom, what happens?","This ability only allows movement across the borders, not ongoing occupation. Units cannot balance on the edge of the realm and an oversized unit that finds its way there falls to one side or the other. Its controller places it in the closest legal position, controller's choice if tied."
"Saint of Redemption","Does 'no minion is Evil' mean they are no longer considered a Demon, Monster or Undead?","Minions will still keep their Demon, Monster and Undead types! They simply are no longer Evil, and will not be affected by things which specifically affect Evil."
"","If Persecutor brands a minion, are they still considered evil by that player's cards while the Saint of Redemption is in play?","No, the Saint redeems all minions, and even the Persecutor's brand will not condemn a redeemed soul!"
"","Do all minions enter the realm tapped, or only minions which would have been Evil?","All minion enter the realm tapped."
"","Does this mean that minions which are not in the realm are not Evil as well?","No minion anywhere is Evil as long as the Saint is in play.  This means that if a player casts [[Black Mass]], they will not be able to reveal any minions, as none of them can be Evil."
"Scatter","Can I push an oversized unit?","Yes, choose a cardinal direction and push the oversized unit one step in that direction as long as no part of the unit would change regions."
"","Does the site itself get pushed?","No."
"","Can I choose different directions for each card being pushed?","Yes."
"","Can I push something into another region?","No, 'pushing' is a form of forced movement which cannot cause something to change regions unless it specifically says so."
"Scent Hounds","What does it mean to 'permanently lose stealth'?","Simply remove the stealth token. It does not prevent the minion from gaining stealth later."
"Scorched Earth","A minion with Gilded Aegis is on a site chosen for Scorched Earth. The Aegis and the minion are being destroyed simultaneously. Does the Aegis have a chance to save the minion before it's destroyed?","Yes."
"","If I target Bedrock with Scorched Earth, the Bedrock obviously isn't destroyed, but is everything else still destroyed?","Yes. (Remember Avatars cannot be destroyed.)"
"","Can I choose zero sites?","Yes. 'Any number' includes zero."
"Scourge Zombies","If Scourge Zombies and an allied mortal die at the same time (e.g. Minor Explosion), does the Zombie's ability bring it back immediately?","No, since the Scourge Zombies must be in the cemetery for their ability to trigger when the mortal dies."
"Screamer","Who decides where the minion steps?","The controller of Screamer."
"","Is this forced movement?","No, the enemy is taking their own step which can benefit from movement abilities such as Voidwalk or Airborne."
"Sea Raider","If Sea Raider attacks a 3 power minion, killing it but also dying in the process, does the Raider have time to use their ability before they die?","Yes. After units are killed, there is time for effects to resolve (e.g. Deathrite) before minions are placed in cemeteries. This effect resolves in the same window of time as deathrites."
"","If I declare an attack against one target, but then a different enemy defends, does that satisfy this ability?","Yes. An attack was made, and then a minion was killed. As long as your attacking unit used the Move and Attack ability and then got kill credit, this ability is satisfied."
"Searing Truth","Does this actually target the Avatar?","Yes. If your opponent casts this and targets your Warded avatar, you will not draw any cards and the Ward will break. Normal targeting rules apply (e.g. a spellcaster in the void or subsurface couldn't target an avatar with this magic, since they aren't in the same region)."
"","How does this interact with damage prevention effects?","Damage prevention effects on the avatar will still apply to the damage from Searing Truth."
"","What do X cost spells count as for this effect?","Unless resolving on the storyline, X cost spells are treated as costing zero."
"Seasoned Sellsword","If my avatar is nearby Seasoned Sellsword, can I discard a card for her ability even if I already control her?","Yes!"
"Seirawan Hydra","How can I kill a Hydra?","Deal 1 lethal damage, or 6 damage all at once. Multiple sources of simultaneous damage will work. For example, if the Hydra attacks and two [[Bosk Troll]]s defend, the Hydra will be killed. Note that damage done one at a time, e.g. [[Arcane Barrage]], would not kill it, since each individual 1 damage would be immediately healed."
"Selfsame Simulacrum","If it tries to become a basic copy of an aura animated by Enchantress, what happens?","Selfsame Simulacrum becomes an aura (not a minion), since that's the actual text on the animated aura. As soon as Selfsame Simulacrum is an aura, it expands to its proper size based on card text (and default aura rules), and must continue to occupy the location that was specified during casting."
"","Can it enter the realm Submerged if it copies a Submerged minion (or Voidwalk, or Burrowing)?","No. When you cast a minion spell, you specify where the minion will enter the realm at time of casting. When the minion actually enters the realm (i.e. it's summoned), that's when Selfsame Simulacrum's copy ability applies. Without Submerge / Burrowing / Voidwalk when it's cast, Selfsame Simulacrum can't use those abilities to change where it's summoned."
"","Does it copy Genesis abilities?","Yes."
"","What if it loses its abilities (e.g. Silence aura)?","Selfsame Simulacrum remains a copy, but any abilities that were printed on the original copy are now ignored."
"Sentinel Trap","How is the facing for the Trap determined?","When you conjure the Sentinel Trap into the realm, choose a cardinal direction to be its initial facing. It then rotates from there. If it is teleported, the controller of the teleport effect can choose which cardinal direction it ends up facing."
"","What happens if the Trap is animated?","The direction it is facing is tracked normally, and is not affected by the Trap's movement or actions."
"Shackled Demon","Does the Spellcaster have to be a unit to tap and release the Demon?","Yes.  Only units can tap, so a spellcaster artifact or site would be unable to release the demon."
"Shield Maidens","My Shield Maidens attack, and then 3 Foot Soldiers defend. How much damage do my Shield Maidens take?","0, because each source of damage is reduced by 1!"
"Shrike Orchard","Can this target sub-surface minions?","Yes.  The minion must be nearby to the site, which means it must be near one of the site's locations.  This means that minions which are underground (or underwater, if the Shrike Orchard is flooded) can be targeted by this effect."
"Siege Ballista","Do both units need to have been in play for a turn or have charge?","Yes. Summoning sick units can't be tapped to pay costs."
"Silence","What happens if a Mountain Giant occupies a Silence aura?","A card's size is generally set when it enters the realm, and is considered one of its characteristics, not an ability. It will not resize."
"","What happens if a Silence aura is animated by Enchantress?","It still silences other minions but it also silences itself."
"Silver Bullet","Can the bearer cast the spell, even if they're not a spellcaster?","Yes!"
"Sinister Pond","How do I calculate the difference in cost of the two minions?","Start with the cost of the Evil minion in your hand, then subtract the cost of the Mortal at the Pond. Remember that costs cannot be negative, so if the result is below zero, treat it as zero instead."
"","Can I transform a Mortal I do not control into Evil from my hand?","Yes, though since it is a transform effect, control of the transformed minion will not change. The player who controlled the Mortal will control the Evil that came from your hand."
"","Can my opponent use this effect as well?","Yes!"
"Sir Morien","Can enemy projectiles be shot from Morien's location?","No, Morien cuts them down immediately, like the total badass he is."
"Sir Tom Thumb","If my opponent's beast snatches Tom up, do they now take control of him?","How dare you!? Sir Tom Thumb is no mere trinket. He's a fully autonomous being and acknowledges no other controller!"
"Skeleton Mage","If Deathspeaker uses his ability to cast Skeleton Mage, does the Skeleton Mage get to use its genesis ability (casting and resolving a spell) before being banished?","Yes!"
"Skirmishers of Mu","How does this ability work?","After declaring their movement path but before actually moving, Skirmishers may shoot. (The game will lookahead to see if your declared path will actually result in movement, ignoring all triggered abilities but considering all ongoing effects.) Alternately, Skirmishers may shoot when they enter a new location during basic movement. They get one shot total during their basic movement, regardless of how far they move. Note that basic movement includes movement from a basic ability, i.e. Move and Attack, and Defend."
"Slimy Mutants","Is this an activated ability that I use while Slimy Mutants are in my hand?","Yes! While Slimy Mutants are in your hand, you may pay (3) and resolve the effect."
"Slumbering Giantess","If attacked by a minion that strikes first, does the Giantess end up striking back?","Yes, assuming she isn't killed."
"Smokestacks of Gnaak","What happens if there are two Smokestacks of Gnaak nearby each other?","See '((Example - Two Smokestacks of Gnaak))' in the codex!"
"","How do Smokestacks of Gnaak and Mirror Realm interact?","By the time Mirror ))Realm(( enters the realm, it's already a copy. Thus, it can copy a nearby site, and then promptly loses all abilities of that copied site (but still is the copy, without abilities). See '((Apply Ongoing Effects In Order))' in the codex for nitty-gritty details."
"","How do Smokestacks of Gnaak and Rift Valley interact?","Rift Valley enters the realm using its ability, and only loses its ability once it's in the realm (which by then, it doesn't really matter)."
"Snowball","Are minions along the path affected even if they have stealth?","Yes! Projectiles do not hit stealth minions, but Snowball is just using the projectile to draw a path. It doesn't matter what units are hit, all of them along the path are rolled up in the snowball and pulled along!"
"","Does the snowball's path include both the starting and ending locations?","Yes! The projectile's path determines which locations are affected by the rest of the snowball, gathering up everything along the way, just as you'd expect giant snowball physics would work after watching all those Saturday morning cartoons."
"Sow the Earth","If I happen to play a Lone Tower from the top of my atlas, will the mana from the Genesis ability also be doubled? What about mana from Abundance?","Yes. Any mana that the site produces, including via any abilities, will be doubled."
"Sparkmage","Can any of my spellcasters cast a spell and still benefit from my avatar's ability?","Yes! As long as you control the spellcaster, the game sees it as a spell '((you))' cast, meaning the player."
"","Is the damage considered air damage?","Yes."
"","If I give my Sparkmage a poisonous dagger, will it deal lethal damage with its tap ability?","Yes, because it's dealing the damage directly via it's ability. (Damage from a lightning bolt cast by the Sparkmage would not be lethal.)"
"","If I reduce the threshold required to cast the spell (e.g. Mix Aer), does the threshold still count for the Sparkmage ability?","Yes. The Sparkmage ability considers printed threshold on the spell."
"Spear of Destiny","What if the minion being killed occupies more than one location?","You choose where the spear teleports, which will be a single location the minion occupies."
"Sphere of Animosity","What does 'Avatars here can't leave' mean?","Avatars currently under the Sphere of Animosity can't enter locations not occupied by the Sphere. This means they can't move to those locations, or be moved by force. Note that when a site moves, it carries along cards of normal size with it, and those cards do not count as entering a new location. This means that a moving site can carry an Avatar out of the Sphere."
"Spin Attack","Does this card count as an 'attack' since it has the word 'attack' in its name?","Sorry for the confusion, but no, this is not actually an attack! You only get an 'attack' from the Move and Attack basic ability, or card text that specifically uses the word attack (e.g. Crave Golem). This card text uses the word 'strike,' which means the unit simply deals damage equal to its power (and there's no chance for the opponent to Defend, and you can strike Stealthed or Airborne units, etc.)"
"Spire Lich","Does Spire satisfy the Spire Lich?","Yes, because of the golden rule. Be cool!"
"","Does Watchtower satisfy the Spire Lich?","Yes, because of the golden rule. Be cool!"
"Spore Spouts","When is the power of the minion checked to see if it's small enough to summon to any site?","You check at the time of casting, before the minion enters the realm. This means that you can summon a Vengeful Heir to any site, even if it enters the realm as a minion which would be too large to work with Spore Sprouts normally, for example."
"Squirming Mass","Let's say the Mass is 1 power, and it fights another 1 power minion. What happens?","Both take 1 damage each, which results in their simultaneous death. That triggers Squirming Mass's ability, which means its gains +1 power, but it's already dying, and merely gaining power isn't enough to save it. (Something specifically that saves a unit from death would be necessary, like Gilded Aegis.) In this example, both minions are placed in the cemetery."
"","If a minion's current power is different from its printed power when it dies, which value does Squirming Mass gain?","The current power of the minion that dies."
"Stagecoach","Can this Pick Up and carry enemy minions?","Yes, the coach will carry anyone!"
"Stitched Abomination","How does this ability work?","The Abomination takes damage as if it is one unit, but the player causing the damage can choose which part or parts of the Abomination it applies to (after damage reduction, if any). Once a part has enough damage assigned to kill it, it's removed. When the last part of the Abomination is destroyed, so is the Abomination. For example, I have an Abomination with 5 + 4 + 3 power, and you are dealing it 7 damage from a Major Explosion. You can assign 3 and 4 damage, destroying those parts, and it's left with 5 power. Alternately, if it were my own Major Explosion, I could assign 3 damage to the 5-power part, and 3 damage to the 4-power part, and 1 damage to 3-power part. It's left with 5+4+3 power, with some damage on each of those parts (which will be removed normally at end of turn).  If an effect would destroy or kill the Abomination outright, including taking Lethal damage, all of its parts are killed. If an effect would banish the Abomination, all of it is banished."
"Sturmgeist","When does this ability resolve?","Whenever an enemy announces a Magic spell, after they've paid the costs but before the spell resolves."
"","What does 'closer' mean?","Determine which location it could step to using its normal movement that would be closest to the caster that triggered it. For instance, assume the Sturmgeist is at location S, and the spellcaster is at location C:  Because the Sturmgeist has the airborne ability, it is able to get from S to C in one step, so it must do so, leaving it zero steps away from the caster.  It cannot move to A or B, because those locations are still one step away from the caster, which is further than zero steps."
"","If the spellcaster dies before the spell they cast resolves, will their spell still resolve?","No! If the spellcaster is dead before their spell resolves, the spell will not resolve at all. See '((Source is No Longer in the Realm))' for more details."
"","What if the Magic is cast by something other than a unit?","The Sturmgeist only hears spells cast by enemies, which are units. Spells cast by artifacts (e.g. Omphalos) or sites (e.g. River of Flame) will not trigger its ability."
"Summoning Sphere","Does this allow me to summon my units burrowed even without burrowing?","No. The effect only allows you to break the restriction of choosing one of your own sites, but not the rule about summoning atop the site."
"","The term 'summon' means 'enter the realm.' So, does that mean I can play minions here for free?","No. This effect simply provides additional locations where you may summon your minions."
"Sunken Treasure","Do I get the cards immediately when my minion carrying the treasure moves to the surface, even in the middle of something else (like defending or attacking) ?","Yes! As soon as your unit is on the surface, you resolve the treasure effect."
"Swap","If one target is a minion, can the other target be an artifact, and vice versa?","Yes. Target one (minion or artifact) and target another (minion or artifact)."
"","How exactly do I resolve a 'swap' effect?","The two cards are simultaneously teleported to each other's location. If one of the targets cannot be targeted or teleported (e.g. Iron Man Talus), neither target moves."
"","Can this effect swap cards into different regions?","No. You target both cards being swapped, and targets must be in the same region as the caster. See ((Casting Spells)) for more information."
"","What if one or both of the swapped cards were being carried?","If either card was being carried by a unit, that unit will be carrying the newly swapped artifact/minion, due to the golden rule. For example, if two carried artifacts are swapped, the bearers will be carrying their newly swapped artifacts (even if they both are in the same location). If a minion is swapped with an artifact, presumably the minion will be immediately dropped (unless the new bearer can carry minions) and the artifact will not be carried (unless the swapped minion was being carried before it was swapped)."
"","What if an oversized unit is involved?","Choose one of the locations the oversized unit occupies as the destination of the other card. See '((Teleporting Oversized Units))' for more details."
"Symmetric Suffering","How do I resolve this effect if I sacrifice a card that has multiple types (e.g. Automaton) ?","When you sacrifice a card that has multiple types, you may specify which type your opponent must match. For example, if you sacrifice one automaton (Minion and Artifact), you can force your opponent to sacrifice a minion or an artifact, your choice (not both). Similarly, if you're playing as Enchantress and you sacrifice an animated aura (Minion and Aura), you can force your opponent to sacrifice a minion or an aura, your choice (not both)."
"Tactical Move","What is the timing for the resolution of this spell?","Choose an ally, declare its movement steps, placing them on the Storyline, then resolve those steps. Repeat for each ally. That is, you declare and resolve each ally's steps before proceeding to the next ally. If you gain more allies during the resolution, you may move them too; keep repeating the effect until each ally has moved."
"Templar","Can any of my spellcasters cast a spell and still benefit from my avatar's ability?","Yes! As long as you control the spellcaster, the game sees it as a spell '((you))' cast, meaning the player."
"Thankless Squire","Once the Thankless Squire has delivered all those lances, and isn't carrying any more, is it still Immobile?","Yes, he's very tired and in need of a rest."
"The Apex of Babel","What does it mean to 'build The Tower of Babel' and 'play ... atop this' ?","You may play The Apex of Babel onto the same square as The Base of Babel! (If you have multiple copes of The Base of Babel in the realm, choose one.) If you do, they merge into a single site called The Tower of Babel. When you build it by playing the Apex, resolve the effect on The Apex of Babel. The Tower of Babel is considered a single site that provides (2) mana and (A)(E), and is both Unique and Exceptional. (The turn you play it, you gain (1) more mana since the Base was already in play.) If it's destroyed, both The Apex of Babel and The Base of Babel go to your cemetery. If it's copied, e.g. Mirror Realm, the copy will provide (2) mana, etc., but you won't get the build bonus again. For all purposes, The Tower of Babel is considered a single site."
"The Base of Babel","What does it mean to 'build The Tower of Babel' and 'play ... atop this' ?","You may play The Apex of Babel onto the same square as The Base of Babel! (If you have multiple copes of The Base of Babel in the realm, choose one.) If you do, they merge into a single site called The Tower of Babel. When you build it by playing the Apex, resolve the effect on The Apex of Babel. The Tower of Babel is considered a single site that provides (2) mana and (A)(E), and is both Unique and Exceptional. (The turn you play it, you gain (1) more mana since the Base was already in play.) If it's destroyed, both The Apex of Babel and The Base of Babel go to your cemetery. If it's copied, e.g. Mirror Realm, the copy will provide (2) mana, etc., but you won't get the build bonus again. For all purposes, The Tower of Babel is considered a single site."
"The Colour Out of Space","If it's not adjacent to void and is within Abundance, does it still gain extra mana?","Yes. The site doesn't provide mana normally, but if it's modified in some way (e.g. Abundance), then it can provide additional mana. 0 + 1 = 1."
"","If it's not adjacent to void and is the target of a flood, does it still gain water affinity?","Yes. The site doesn't provide affinity normally, but if it's modified in some way (e.g. Flood), then it will."
"The Doom of Dilmun","Can this minion die?","The only way it can be killed is if you sacrifice it. Otherwise, it cannot be killed. Meet your doom!"
"The Flood","If Draconian Bonekite, Sir Pelleas, and Azuridge Caravan are all in the realm, can I choose to keep the Caravan and another minion?","No, you cannot save Azuridge Caravan and other minions. Since Azuridge Caravan counts as all minion types, you cannot save it and any other minion with a type since they will always have a shared type."
"","If there are minions with multiple types in the realm, can I choose what type they count as when resolving The Flood? (e.g. I control Draconian Bonekite and Wyvern.","They are both of their minion types at all times. Though each minion has another minion type in addition to Dragon in their type line, you can only choose one! You can only save one Dragon from the flood!"
"","Who chooses what minions of each type are saved from The Flood?","The controller of the spell."
"","Can I choose to save a minion that has no minion type e.g. Maiden, Mother, Crone?","No, since Maiden, Mother, Crone has no type it cannot be saved from being submerged."
"The Geistwood","If multiple minions including Miracle Workers die at the same time on Geistwood, can Miracle Workers return themselves and/or another minion that's dying to your hand?","No, because Miracle Workers only return minions from the cemetery, and deathrites resolve while the minions are still in the realm. The Miracle Workers could return other minions that died earlier that turn and were in the cemetery."
"","If The Geistwood site itself and minions occupying the site are all destroyed at the same time, do the minions' genesis abilities still count as Deathrite abilities, or can the active player decide to destroy Geistwood before the deathrites resolve?","Since the destruction is simultaneous (e.g. Roots of Ygdrassil), all Deathrites will resolve before cards are moved to the cemetery."
"The Hexham Haunts","How does summoning burrowed interact with Evil Presence?","You may summon the Haunts to an affected site, and they must be burrowed. But the Haunts won't gain Charge and Evil Presence will remain in the realm because the Haunts were not summoned 'here' according to Evil Presence, since Evil Presence occupies the surface (and perhaps the void), not underground."
"The Immortal Throne","What does 'alone here' mean?","No other units at the location."
"","What counts as 'playing' a card?","Playing a site, which costs 0, or casting a spell."
"","If I modify the cost of a spell (e.g. a Mix artifact, or an alternate casting cost), does The Immortal Throne look at the modified cost or the printed cost?","Cost in this case means 'printed cost.'"
"","The alpha foil version has the text for Pendulum of Peril on it. Is that a misprint?","Yes. Use the text for the normal version. The foil version is not legal for tournament ))play((."
"The Inquisition","When does this ability trigger?","If an effect requires you to reveal it from your hand, or from your spellbook, or if your opponent searches your spellbook."
"The Malleus Maleficarum","Can the bearer cast the spell, even if they're not a spellcaster?","Yes!"
"The Manor at Daperyll Hill","If the 3 damage is reduced, redirected away from 'here', or prevented, do I still heal 3?","No, the full 3 damage must be dealt to the targeted minion here in order to heal 3."
"The Rack","Stretch my avatar? You're pulling my leg! Does this make my avatar an oversized unit now?","Pulling both arms and both legs actually but, yes! Your avatar will now be an oversized unit!"
"","If Magellan Globe leaves play when a card is spanning the edge of the realm, what happens?","Units cannot balance on the edge of the realm and an oversized unit that finds its way there falls to one side or the other. Its controller places it in the closest legal position, controller's choice if tied. If there's no legal position anywhere in the realm for a minion, it dies. If there's no legal position anywhere in the realm for an avatar, shrink it until there is a legal position (Avatar controller's choice), and place it there."
"","When an avatar is stretched by this effect, does it count as entering the new location?","Yes! The avatar has to be able to enter the location for the effect to work, and then it will trigger any effects caused by entering. It does not count as moving, however."
"","What happens if an oversized avatar is occupying a site, and then some effect moves that site?","When a site moves, only things of 'normal' size move with it. As the avatar is now oversized, it will not be moved. In most cases when a site moves, another site will be left in its place (e.g. [[Rift Valley]]). In these situations, the avatar will end up occupying the surface of the new site. In the case of [[Cloud City]], which leaves a void location behind, the avatar will now be occupying that void square. See ((mandatory actions)) for what happens if your avatar is in the void. Note that in both cases the avatar does not 'enter' the new location that it is occupying."
"The Void","How does this site work?","The site still has both a surface and subsurface, but those locations also count as void simultaneously. It has a surface + void location, and a subsurface + void location. Minions without voidwalk that enter the site will be banished. Spells cast from the surface + void location can target cards that are in the surface or the void, for example. Projectiles can travel from the surface + void location into the void."
"","Can my avatar enter this site?","Yes."
"","Can forced movement move a minion from a surface location to the surface of The Void?","Yes!"
"","When my opponent casts a minion spell with Voidwalk, can they choose The Void as its summoning location, even though it's my site?","Yes! It is a void, so they can choose to cast their Voidwalk minions to here if they wish."
"","While my Avatar occupies the surface + void location of The Void site, can I target something occupying the underground + void location of The Void site?","Yes! The target is in the same region (void) as the spellcaster, so it can be targeted!"
"","Normally, when moving from void to a site, a minion (e.g. Hounds of Ondaros) can move directly to the surface OR subsurface. Therefore, when moving from the subsurface + void location of this site, can a minion like Hounds of Ondaros move directly to the surface of an adjacent site? Could they move from the surface + void location directly to the subsurface of an adjacent site?","Yes! Minions with voidwalk can continue to use their voidwalk abilities to move accordingly."
"Thing in the Ice","What does 'can't be targeted or damaged by magic' mean?","Magic can't target the card and the card can't be damaged by Magic (even without targeting). The card can still be targeted by non-Magic effects."
"Thunderstorm","The alpha and beta text is different, which should I use?","The beta text is correct."
"Tide Naiads","Can Tide Naiads move from an underwater location to an underground location?","No. They would need to enter the underground location to flood it, and they cannot enter underground locations without burrowing."
"Toolbox","Can the bearer cast the spell, even if they're not a spellcaster?","Yes!"
"Torrid Omphalos","Must spells cast by the Omphalos match its elements?","Yes. Any spell the Omphalos casts much match at least one of its elements."
"Torshammar Trinket","How does this work with end of turn and damage clearing?","The intent is that a 1 power minion with 1 damage + the Trinket would survive the turn."
"Trade Encampment","Do I have to reveal the traded artifacts?","Yes, you must reveal them to ensure it is a fair trade."
"Tringh Constrictor","The alpha and beta text is different, which should I use?","The beta text is correct."
"Troll Bridge","What is a 'lone enemy'?","A 'lone enemy' is an enemy unit that's not entering simultaneously with another enemy unit. Stationary units at the Troll Bridge ignored. Here are some examples: If an enemy [[War Horse]] is carrying its Avatar and moves to your Troll Bridge, it will not trigger, since there are two enemies entering simultaneously.  If your [[Bodach Bogeyman]] is carrying two enemy minions and moves to your Troll Bridge, it will not trigger. However, if the Bogeyman were carrying just one enemy, the Bridge would trigger. If there is already an enemy occupying the Troll Bridge and another enemy unit enters, it will trigger for the entering enemy."
"Truesight Crossbow","Can the bearer shoot or defend against a stealthed enemy?","Yes. The bearer can target stealthed minions with spells, shoot them with projectiles, attack or intercept them and even defend against their attacks."
"Tufted Turtles","My Tufted Turtles attack (having taken no damage so far this turn), and then 3 Foot Soldiers defend. How much damage do my Tufted Turtles take?","0, because all three Foot Soldiers did damage at the same time, tied for first, and thus all are prevented!"
"Twist of Fate","Does this count as healing?","No, this is setting life."
"","What happens if I cast this when I'm at death's door?","You can cast it, and your opponent will go to 0 life, being put at Death's Door and becoming immune to damage for the rest of the turn. You will still remain at 0 life since you can't gain life once you're at death's door."
"","For purposes of cards that care about the mana cost of spells, what is the mana cost of a spell with X?","If you cast the spell, the mana cost is X. For example, if you cast it for 2 mana, then Immortal Throne would see it as a 2 cost spell. But, if you aren't casting the spell and it's simply in your hand, spellbook, etc., then X is 0 until you actually cast it."
"Ultimate Horror","The alpha foil version has 3 air threshold and the normal version has 2 air threshold. Which is correct?","The normal version is correct. You only need 2 air affinity to cast this minion."
"","When Ultimate Horror summons dead voidwalk minions, can they go to different nearby sites and voids?","Yes!"
"Undertaker Engine","Can it burrow and unburrow different things the same turn?","Yes."
"Undertow","Does Undertow let you pull a unit underwater if they have submerge?","No, because it's a 'normal step,' which doesn't allow changing regions."
"Unland Angler","What are the details of pulling an oversized minion that occupies the water site and other locations?","When pulling or pushing a oversized unit, choose a single location the oversized unit occupies (and meets the requirement of the effect - e.g. adjacent), and push/pull from there."
"Unland Eel","When it submerges, can it pull down a minion anywhere in the realm, or only from its location?","No. Unland Eel can only drag a minion that shares its location."
"Vanguard Knights","If I have two Vanguard Knights equally forward, do they cancel each other out?","Yes. They only get the benefit if they are the true vanguard, with a single minion being the farthest forward."
"","How do I know if they're the 'farthest forward?'","The row of squares closest to you is 1, then the next row is 2, then 3, then 4. The higher the number, the farther forward it is."
"Varmint Warrens","Does this prevent enemy magic from harming my beasts?","Yes, as long as the effect says 'target'. You'll need to bring in a specialized exterminator to flush out these hidey-holes."
"","What counts as an 'enemy' for this effect? Is it enemies of the beast, or enemies of the site?","Beasts at Varmint Warrens cannot be targeted by spells or abilities used by the enemies of the beast. All kinds of critters can hide in the warrens!"
"Vatn Draconis","If I choose to submerge minions and artifacts here, do I submerge Vatn Draconis too?","Yes, it will submerge itself. You cannot choose to submerge only some of the minions and artifacts."
"Vaults of Zul","If I play this under my avatar, have I stopped there?","No, because a unit doesn't enter the site if the unit was already present in the square when the site was played."
